Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    AUS,     .,    .,     ., 1975, 1975, 15,     1,   ACY,       1,0.00002,0.00000,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 16,     1,   ACY,       1,0.00025,0.00002,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 17,     1,   ACY,       1,0.00168,0.00027,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 18,     1,   ACY,       1,0.00804,0.00195,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 19,     1,   ACY,       1,0.02059,0.00999,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 20,     1,   ACY,       1,0.03582,0.03058,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 21,     1,   ACY,       1,0.05280,0.06640,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 22,     1,   ACY,       1,0.07573,0.11920,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 23,     1,   ACY,       1,0.10279,0.19493,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 24,     1,   ACY,       1,0.12275,0.29772,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 25,     1,   ACY,       1,0.14550,0.42047,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 26,     1,   ACY,       1,0.15715,0.56597,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 27,     1,   ACY,       1,0.16520,0.72312,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 28,     1,   ACY,       1,0.16973,0.88832,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 29,     1,   ACY,       1,0.15094,1.05805,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 30,     1,   ACY,       1,0.14418,1.20899,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 31,     1,   ACY,       1,0.12751,1.35317,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 32,     1,   ACY,       1,0.11014,1.48068,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 33,     1,   ACY,       1,0.09730,1.59082,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 34,     1,   ACY,       1,0.08331,1.68812,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 35,     1,   ACY,       1,0.07497,1.77143,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 36,     1,   ACY,       1,0.06049,1.84640,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 37,     1,   ACY,       1,0.05086,1.90689,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 38,     1,   ACY,       1,0.04338,1.95775,        RE,  estimate,    AUS_13,   .,    0
    AUS,     .,    .,     ., 1975, 1975, 39,     1,   ACY,       1,0.03610,2.00113,        RE,  estimate,    AUS_13,   .,    0
